csv,caption,photographer,stylist,image
1, PRINT MAGAZINE, MERT ALAS + MARCUS PIGGOTT,FRANCESCA BURNS,COVER.png
2, BOTTEGA VENETA F/W 19, TYRONE LEBON,MARIE CHAIX,COVER1.jpg
3, INTERVIEW MAGAZINE, CAMPBELL ADDY,GABRIELLA KAREFA - JOHNSON,Interview_DIGITAL_WEB_2019_FALL_Braids_01.jpg
4, MIU MIU RESORT 20, JUERGEN TELLER,KATIE GRAND,COVER.jpg
5, MSGM S/S 19, SHARNA OSBORNE STYLIST,KATIE GRAND,COVER.jpg
6, NY TIMES STYLE, ARNAUD LAJEUNIE,ALEX HARRINGTON,COVER.jpg
7, SELF SERVICE, COLLIER SCHORR,MARIE CHAIX,COVER.jpg
8, INTERVIEW MAGAZINE, CHARLIE ENGMAN,MEL OTTENBERG,COVER.jpg
9, VOGUE UKRAINE, STUART WINECOFF, JULIE PELIPAS,COVER.jpg
10, CHARLOTTE KNOWLES F/W 19, ARNAUD LAJEUNIE STYLIST,GEORGIA PENDLEBURY,COVER.jpg
11, MIU MIU F/W 19, EDDIE WREY,KATIE GRAND,COVER.jpg
12, THE MARC JACOBS RESORT 20, JONNY DUFORT,LOTTA VOLKOVA,COVER.jpg
13, M LE MONDE, THURSTAN REDDING,,COVER.jpg